name	chemical formula	neutral mass	rt (min)	protocol	assertion value	assertion confidence	
glutamate	C5H9NO4	147.0527	20.47	10.1039/c1mb05196b	ND		
glutamine	C5H10N2O3	146.0697	20.36	10.1039/c1mb05196b	ND		
glycerophosphocholine	C8H20NO6P	257.104	21.38	10.1039/c1mb05196b	ND		
Gly-Phe	C11H14N2O3	222.1008	17.08	10.1039/c1mb05196b	ND		
guanine	C5H5N5O	151.0488	14.15	10.1039/c1mb05196b	ND		
guanosine	C10H13N5O5	283.0914	15.76	10.1039/c1mb05196b	E	5	
HEPES	C8H18N2O4S	238.1057	19.23	10.1039/c1mb05196b	ND		
histidine	C6H9N3O2	155.0691	21.14	10.1039/c1mb05196b	ND		
histidine betaine	C9H15N3O2	197.1166	20.05	10.1039/c1mb05196b	ND		
His-Val	C11H18N4O3	254.1369	19.36	10.1039/c1mb05196b	ND		
hypoxanthine	C5H4N4O	136.0385	9.81	10.1039/c1mb05196b	ND		
isoleucine	C6H13NO2	131.0945	15.66	10.1039/c1mb05196b	E	5	
leucine	C6H13NO2	131.0945	15.14	10.1039/c1mb05196b	E	5	
lysine	C6H14N2O2	146.1052	36.57	10.1039/c1mb05196b	ND		
methionine	C5H11NO2S	149.0502	16.43	10.1039/c1mb05196b	E	5	
methyladenosine	C11H15N5O4	281.1121	7.38	10.1039/c1mb05196b	E	5	
methylguanine	C6H7N5O	165.0657	9.83	10.1039/c1mb05196b	E	5	
methylguanosine	C11H15N5O5	297.1071	11.36	10.1039/c1mb05196b	E	5	
methylthioadenosine	C11H15N5O3S	297.0898	6.78	10.1039/c1mb05196b	ND		
methyluridine	C10H14N2O6	258.0848	8.02	10.1039/c1mb05196b	E	5	
nicotinamide	C6H6N2O	122.048	6.26	10.1039/c1mb05196b	N	1	
phenylalanine	C9H11NO2	165.0781	14.8	10.1039/c1mb05196b	E	5	
phenylethylamine	C8H11N	121.0891494	12.07	10.1039/c1mb05196b	ND		
proline	C5H9NO2	115.0631	18.22	10.1039/c1mb05196b	E	5	
pyridoxine	C8H11NO3	169.0739	7.04	10.1039/c1mb05196b	ND		
serine	C3H7NO3	105.0424	19.29	10.1039/c1mb05196b	ND		
succinate	C4H6O4	118.0264	20.38	10.1039/c1mb05196b	ND		
thiamine	C12H16N4OS	264.1036	14.96	10.1039/c1mb05196b	ND		
Thr-Ala	C7H14N2O4	190.0955	19.56	10.1039/c1mb05196b	ND		
threonine	C4H9NO3	119.0574	19.78	10.1039/c1mb05196b	ND		
Thr-Ser	C7H14N2O5	206.0881	19.38	10.1039/c1mb05196b	ND		
tryptophan	C11H12N2O2	204.0884	15.61	10.1039/c1mb05196b	E	5	
tyrosine	C9H11NO3	181.0732	17.43	10.1039/c1mb05196b	E	2	
uracil	C4H4N2O2	112.028	6.98	10.1039/c1mb05196b	ND		
uridine	C9H12N2O6	244.0689	9.95	10.1039/c1mb05196b	E	5	
Val-Glu	C10H18N2O5	246.1204	20.06	10.1039/c1mb05196b	ND		
valine	C5H11NO2	117.0792	17.21	10.1039/c1mb05196b	E	5	
xanthine	C5H4N4O2	152.033	10.73	10.1039/c1mb05196b	E	5	
